order_id,customer_id,employee_id,order_date,status
50001,1091,202,2025-11-11,Completed
50002,1195,204,2025-04-16,Completed
50003,1104,204,2025-10-10,Completed
50004,1065,201,2025-04-24,Completed
50005,1151,204,2025-12-17,Returned
50006,1182,201,2025-08-09,Completed
50007,1121,201,2025-07-11,Completed
50008,1145,208,2025-12-03,Completed
50009,1151,203,2025-12-10,Completed
50010,1068,202,2025-09-06,Completed
50011,1009,202,2025-04-23,Completed
50012,1161,208,2025-09-26,Completed
50013,1043,205,2025-11-20,Completed
50014,1127,201,2025-07-20,Completed
50015,1006,206,2025-12-22,Completed
50016,1047,204,2025-12-14,Completed
50017,1086,207,2025-05-04,Completed
50018,1083,202,2025-02-25,Completed
50019,1014,204,2025-03-12,Completed
50020,1162,204,2025-09-08,Completed
50021,1058,201,2025-12-30,Cancelled
50022,1070,208,2025-06-16,Completed
50023,1035,205,2025-11-09,Completed
50024,1149,207,2025-12-16,Completed
50025,1060,201,2025-11-14,Completed
50026,1026,201,2025-12-15,Cancelled
50027,1168,203,2025-12-03,Returned
50028,1082,205,2025-09-29,Completed
50029,1162,208,2025-10-10,Completed
50030,1015,203,2025-05-12,Completed
50031,1062,201,2025-07-19,Completed
50032,1174,203,2025-08-03,Completed
50033,1124,204,2025-02-13,Completed
50034,1200,207,2025-10-02,Completed
50035,1174,204,2025-10-25,Completed
50036,1113,205,2025-01-12,Completed
50037,1094,202,2025-08-30,Completed
50038,1058,204,2025-11-24,Completed
50039,1173,204,2025-10-09,Completed
50040,1157,204,2025-04-03,Completed
50041,1030,201,2025-02-18,Completed
50042,1072,202,2025-01-12,Completed
50043,1166,202,2025-06-13,Returned
50044,1145,205,2025-04-27,Completed
50045,1153,208,2025-01-28,Returned
50046,1061,201,2025-09-01,Completed
50047,1057,205,2025-12-02,Cancelled
50048,1110,204,2025-10-16,Completed
50049,1017,204,2025-03-20,Completed
50050,1026,206,2025-11-04,Completed
50051,1117,201,2025-06-24,Completed
50052,1025,206,2025-10-12,Completed
50053,1154,204,2025-05-04,Completed
50054,1110,206,2025-11-25,Completed
50055,1178,202,2025-04-06,Completed
50056,1190,201,2025-09-01,Completed
50057,1014,204,2025-03-25,Completed
50058,1194,203,2025-08-12,Completed
50059,1055,202,2025-11-25,Completed
50060,1045,204,2025-03-18,Completed
50061,1081,202,2025-08-19,Completed
50062,1177,203,2025-12-03,Completed
50063,1044,201,2025-02-21,Completed
50064,1045,205,2025-09-25,Completed
50065,1161,201,2025-05-15,Completed
50066,1010,202,2025-01-27,Completed
50067,1099,208,2025-07-18,Completed
50068,1147,204,2025-09-11,Completed
50069,1088,203,2025-12-03,Completed
50070,1041,202,2025-06-30,Completed
50071,1099,206,2025-05-24,Returned
50072,1080,204,2025-12-23,Completed
50073,1165,201,2025-11-27,Completed
50074,1005,208,2025-06-06,Completed
50075,1139,203,2025-11-29,Completed
50076,1178,207,2025-11-26,Completed
50077,1185,204,2025-04-15,Completed
50078,1147,205,2025-12-15,Completed
50079,1142,206,2025-12-23,Completed
50080,1112,206,2025-02-08,Completed
50081,1129,208,2025-06-13,Completed
50082,1183,201,2025-09-26,Completed
50083,1039,204,2025-08-24,Completed
50084,1029,204,2025-11-16,Completed
50085,1062,204,2025-08-06,Completed
50086,1100,204,2025-12-02,Returned
50087,1189,201,2025-10-05,Completed
50088,1035,208,2025-02-25,Completed
50089,1080,203,2025-08-27,Completed
50090,1085,202,2025-05-26,Completed
50091,1022,203,2025-10-03,Returned
50092,1170,204,2025-05-15,Completed
50093,1164,206,2025-06-17,Completed
50094,1174,201,2025-11-02,Completed
50095,1095,201,2025-06-25,Completed
50096,1048,207,2025-07-13,Completed
50097,1035,201,2025-11-15,Completed
50098,1182,202,2025-02-18,Completed
50099,1052,206,2025-11-08,Completed
50100,1102,203,2025-12-24,Completed
50101,1200,201,2025-08-19,Returned
50102,1182,207,2025-04-17,Completed
50103,1024,204,2025-08-06,Completed
50104,1145,201,2025-01-28,Completed
50105,1161,208,2025-08-21,Completed
50106,1037,202,2025-05-23,Returned
